Date,Open,High,Low,Close,Volume
2020-01-02,84.75333404541016,85.43000030517578,84.33333587646484,85.43000030517578,1275300
2020-01-03,84.11333465576172,84.56999969482422,83.65333557128906,83.836669921875,1235100
2020-01-06,82.78333282470703,83.2300033569336,82.41999816894531,82.96333312988281,1615200
2020-01-07,83.99666595458984,84.82333374023438,83.5,84.48999786376953,1146600
2020-01-08,84.65666961669922,84.98332977294922,84.05332946777344,84.413330078125,1297800
2020-01-09,85.586669921875,85.586669921875,84.14666748046875,84.94667053222656,639600
2020-01-10,85.48666381835938,85.48666381835938,84.2066650390625,84.45333099365234,1952100
2020-01-13,85.0433349609375,85.55999755859375,84.78333282470703,85.44000244140625,950100
2020-01-14,85.66666412353516,86.34666442871094,85.18000030517578,85.62666320800781,896400
2020-01-15,85.74666595458984,85.78666687011719,84.37000274658203,84.72000122070312,1516500
2020-01-16,85.37333679199219,86.09333038330078,85.3133316040039,86.05999755859375,1708500
2020-01-17,86.58333587646484,86.7066650390625,86.02666473388672,86.7066650390625,1016700
2020-01-21,86.36666870117188,86.9566650390625,86.2933349609375,86.65666961669922,1653300
2020-01-22,87.2933349609375,88.20999908447266,87.04000091552734,87.23999786376953,1251300
2020-01-23,87.57333374023438,87.9800033569336,86.77666473388672,87.9000015258789,1077300
2020-01-24,89.18333435058594,89.30999755859375,86.36000061035156,86.96666717529297,1626300
2020-01-27,84.5,84.66999816894531,83.47666931152344,83.64666748046875,3212100
2020-01-28,84.59333038330078,85.88666534423828,84.12333679199219,85.586669921875,2410500
2020-01-29,85.28333282470703,85.49666595458984,83.96333312988281,84.01333618164062,1242300
2020-01-30,83.55000305175781,84.26333618164062,82.36666870117188,84.01667022705078,1741800
2020-01-31,83.24666595458984,83.3133316040039,80.63333129882812,81.0199966430664,2155500
2020-02-03,81.26667022705078,82.12666320800781,81.21333312988281,81.92666625976562,1719300
2020-02-04,84.11000061035156,84.61333465576172,83.69000244140625,84.48666381835938,2465100
2020-02-05,86.09666442871094,86.58000183105469,85.15666961669922,86.43333435058594,2009100
2020-02-06,86.40333557128906,86.52666473388672,85.44000244140625,86.48332977294922,1068600
2020-02-07,85.46666717529297,85.61666870117188,84.33999633789062,84.4433364868164,1550700
2020-02-10,83.65666961669922,85.67333221435547,83.65666961669922,85.62666320800781,1212900
2020-02-11,86.4566650390625,87.86333465576172,86.4566650390625,87.3566665649414,1132500
2020-02-12,88.33333587646484,88.83333587646484,88.25333404541016,88.70333099365234,1554900
2020-02-13,87.97000122070312,89.37333679199219,87.86333465576172,88.79666900634766,1681800
2020-02-14,89.49333190917969,89.78666687011719,88.0566635131836,88.5,1366800
2020-02-18,87.15666961669922,87.50333404541016,86.69667053222656,87.36333465576172,2409900
2020-02-19,88.47333526611328,89.73332977294922,88.47333526611328,89.56666564941406,1575300
2020-02-20,89.28666687011719,89.52333068847656,86.96666717529297,88.26667022705078,2301300
2020-02-21,87.65333557128906,87.7300033569336,85.30332946777344,85.6433334350586,2479200
2020-02-24,81.62333679199219,82.78666687011719,81.0,81.54000091552734,3786600
2020-02-25,82.63333129882812,82.75666809082031,78.63666534423828,79.11000061035156,5127600
2020-02-26,79.76000213623047,80.9566650390625,78.73332977294922,79.21666717529297,4525200
2020-02-27,76.86000061035156,78.4366683959961,75.42333221435547,75.55999755859375,4172100
2020-02-28,72.92666625976562,77.7699966430664,72.7066650390625,77.26333618164062,4788900
2020-03-02,78.63333129882812,80.0,76.10333251953125,80.0,4137600
2020-03-03,80.3566665649414,81.40333557128906,76.66666412353516,77.18333435058594,2729700
2020-03-04,78.88666534423828,81.12666320800781,77.7300033569336,81.12666320800781,3355800
2020-03-05,79.11666870117188,80.72000122070312,78.02666473388672,78.68333435058594,3548700
2020-03-06,76.2933349609375,77.69000244140625,75.11000061035156,76.96333312988281,4851600
2020-03-09,70.82333374023438,74.26000213623047,70.0,70.38999938964844,6082500
2020-03-10,73.33333587646484,75.07666778564453,70.69999694824219,75.01000213623047,3859500
2020-03-11,72.63666534423828,73.6933364868164,70.02999877929688,70.8066635131836,2262900
2020-03-12,65.86333465576172,68.55999755859375,62.936668395996094,63.043331146240234,5859900
2020-03-13,66.80332946777344,70.05999755859375,63.0533332824707,69.8066635131836,4420200
2020-03-16,62.66666793823242,65.62333679199219,58.54999923706055,59.176666259765625,4817100
